Id,dataset_window,days_with_activity,avg_steps,avg_distance,avg_calories,step_variability,avg_sedentary_minutes,active_days_pct,has_sleep_log,has_weight_log,sleep_rows,weight_rows
4057192912,2016-04-12_to_2016-05-12,4,3838.0,2.86250001192093,1973.75,2691.6656553145676,1217.25,0.12903225806451613,false,false,0,0
4388161847,2016-03-12_to_2016-04-11,8,0.0,0.0,1805.25,0.0,1384.25,0.25806451612903225,false,false,0,0
8583815059,2016-03-12_to_2016-04-11,8,3045.5,2.3775000125169763,2391.25,1665.1289096386158,1261.75,0.25806451612903225,false,false,0,0
6775888955,2016-03-12_to_2016-04-11,9,5559.0,3.985555517383748,2724.7777777777774,5231.2178314423118,1017.8888888888889,0.29032258064516131,false,false,0,0
6391747486,2016-03-12_to_2016-04-11,9,1336.8888888888891,1.0744444661670265,1763.1111111111113,3235.1726168955984,1261.8888888888889,0.29032258064516131,false,false,0,0
1644430081,2016-03-12_to_2016-04-11,10,9274.8,6.7490000009536777,2916.4,5658.1184308723841,1034.2,0.32258064516129031,false,false,0,0
6290855005,2016-03-12_to_2016-04-11,10,1618.1,1.223000001907349,2165.6,3479.759201439088,1289.6,0.32258064516129031,false,false,0,0
3372868164,2016-03-12_to_2016-04-11,10,6127.5,4.2159999847412131,1860.3,1440.5214526537102,1085.1,0.32258064516129031,false,false,0,0
6117666160,2016-03-12_to_2016-04-11,10,8248.6,6.2269999742507958,2099.3000000000006,5826.1922041758971,864.1,0.32258064516129031,false,false,0,0
8053475328,2016-03-12_to_2016-04-11,10,16299.8,12.712999963760367,3103.4,4618.7626722123559,1166.0,0.32258064516129031,false,false,0,0
8378563200,2016-03-12_to_2016-04-11,11,8579.7272727272739,6.8045454242012786,3490.181818181818,4279.3943517958032,724.27272727272725,0.35483870967741937,false,false,0,0
2026352035,2016-03-12_to_2016-04-11,11,3608.5454545454545,2.2372727068987763,1424.181818181818,1599.1164662798244,698.81818181818176,0.35483870967741937,false,false,0,0
5577150313,2016-03-12_to_2016-04-11,11,8608.18181818182,6.4481817809018178,3300.2727272727275,3534.5908622691213,665.81818181818176,0.35483870967741937,false,false,0,0
1844505072,2016-03-12_to_2016-04-11,11,3971.545454545455,2.6254545666954741,1726.5454545454545,2757.0852494486408,1090.7272727272727,0.35483870967741937,false,false,0,0
2320127002,2016-03-12_to_2016-04-11,11,3233.0,2.1872727003964512,1599.5454545454545,3582.6747828961534,1306.7272727272727,0.35483870967741937,false,false,0,0
7007744171,2016-03-12_to_2016-04-11,11,12701.0,9.137272748080175,2772.9090909090905,2069.1514202687054,1054.8181818181818,0.35483870967741937,false,false,0,0
8792009665,2016-03-12_to_2016-04-11,11,3374.4545454545455,2.1600000086155808,2196.0,2651.2808739790794,920.45454545454538,0.35483870967741937,false,false,0,0
5553957443,2016-03-12_to_2016-04-11,11,8801.90909090909,5.7509091225537432,1908.8181818181818,4491.031829202404,657.45454545454538,0.35483870967741937,false,false,0,0
7086361926,2016-03-12_to_2016-04-11,11,6619.727272727273,4.44272722879594,2318.090909090909,4467.6144437699431,962.81818181818187,0.35483870967741937,false,false,0,0
2022484408,2016-03-12_to_2016-04-11,11,12671.090909090908,9.14272739670494,2596.7272727272725,3614.6040849461083,1105.090909090909,0.35483870967741937,false,false,0,0
3977333714,2016-03-12_to_2016-04-11,11,9382.5454545454522,6.2827272198416955,1508.6363636363637,4299.7204877442055,756.18181818181824,0.35483870967741937,false,false,0,0
4319703577,2016-03-12_to_2016-04-11,12,7820.583333333333,5.2558333476384487,1994.2500000000002,2840.8109424257823,780.08333333333326,0.38709677419354838,false,false,0,0
1624580081,2016-03-12_to_2016-04-11,18,4092.8888888888887,2.6599999732441377,1388.8333333333333,4502.25347352515,1315.7777777777778,0.58064516129032262,false,false,0,0
2347167796,2016-04-12_to_2016-05-12,18,9519.6666666666661,6.3555555359150011,2043.4444444444446,4682.0936995925995,687.16666666666686,0.58064516129032262,true,false,15,0
8253242879,2016-04-12_to_2016-05-12,19,6482.1578947368416,4.6673684684853809,1787.9999999999998,3141.3251319777969,1287.3684210526314,0.61290322580645162,false,false,0,0
3372868164,2016-04-12_to_2016-05-12,20,6861.65,4.7070000410079968,1933.1000000000001,1842.4513212165557,1077.5499999999997,0.64516129032258063,false,false,0,0
7007744171,2016-04-12_to_2016-05-12,26,11323.423076923078,8.0153845915427553,2543.9999999999995,5306.47759760146,1055.3461538461538,0.83870967741935487,true,false,2,0
6775888955,2016-04-12_to_2016-05-12,26,2519.6923076923076,1.8134615161241248,2131.7692307692305,3027.8025400508636,1299.4230769230771,0.83870967741935487,true,false,3,0
6117666160,2016-04-12_to_2016-05-12,28,7046.7142857142862,5.3421429140227179,2261.1428571428569,4887.6981544155578,796.28571428571445,0.90322580645161288,true,false,18,0
8792009665,2016-04-12_to_2016-05-12,29,1853.7241379310344,1.1865517168209476,1962.3103448275858,2327.36021364107,1060.4827586206895,0.93548387096774188,true,false,15,0
6290855005,2016-04-12_to_2016-05-12,29,5649.5517241379321,4.27241380461331,2599.620689655173,2857.6123098314943,1193.0344827586209,0.93548387096774188,false,false,0,0
1644430081,2016-04-12_to_2016-05-12,30,7282.9666666666653,5.2953333536783873,2811.2999999999997,4325.4788252650242,1161.8666666666663,0.967741935483871,true,false,4,0
3977333714,2016-04-12_to_2016-05-12,30,10984.566666666666,7.5169999440511095,1513.6666666666667,3134.1416102871503,707.5333333333333,0.967741935483871,true,false,28,0
