dataset_window,week_day,avg_total_steps,avg_total_distance,avg_tracker_distance,avg_very_active_distance,avg_moderately_active,avg_light_active,avg_sedentary_active,avg_very_active_minutes,avg_fairly_active_minutes,avg_lightly_active_minutes,avg_sedentary_minutes,avg_calories,total_days
2016-03-12_to_2016-04-11,1,6058.0138888888905,4.3227777580161471,4.3227777580161471,1.1615277695366069,0.41388888522568684,2.5680555558194302,0.0012499999720603221,15.34722222222222,9.2083333333333357,163.56944444444443,1015.6527777777784,2167.5972222222222,72
2016-03-12_to_2016-04-11,2,7118.5882352941208,5.0545588704647821,5.0235294637489414,1.2833823420874333,0.41338235430200321,3.2408823381068506,0.0011764705893309681,18.955882352941188,10.397058823529413,171.64705882352939,1032.8529411764703,2252.8676470588234,68
2016-03-12_to_2016-04-11,3,6459.3877551020414,4.5924489498138419,4.4006122010094773,0.93755102412281,0.42040816139505843,3.1210204143913423,0.0016326530247318485,15.326530612244895,12.22448979591837,186.65306122448976,1027.2448979591841,2285.73469387755,49
2016-03-12_to_2016-04-11,4,7510.7083333333339,5.3714583170367405,5.3460416547410805,1.2529166657477619,0.6320833258020383,3.38416664818457,0.0014583333007370431,16.979166666666668,14.520833333333334,190.12500000000006,1011.0625000000001,2377.458333333333,48
2016-03-12_to_2016-04-11,5,6847.0833333333321,4.8504166344258328,4.8102083146028844,1.2495833414917188,0.56729166714164136,2.8770833501669895,0.0043749999798213413,17.4375,14.479166666666668,167.27083333333331,1055.0625,2297.8125,48
2016-03-12_to_2016-04-11,6,6737.5616438356174,4.8536986194244811,4.801506839386402,1.2665753399264319,0.57027397207813713,2.9428767047516295,0.0019178081763117269,15.999999999999993,22.219178082191775,178.2191780821918,1054.7123287671232,2313.5479452054792,73
2016-03-12_to_2016-04-11,7,7089.7733333333344,5.0209333487103374,4.9509333487103389,1.3107999986906844,0.51373333667715382,3.09333335424463,0.0026666666070620211,18.973333333333333,12.586666666666666,190.02666666666673,976.62666666666678,2277.586666666668,75
2016-04-12_to_2016-05-12,1,6933.2314049586785,5.0271900736934674,5.0271900736934674,1.4889256234688693,0.61801652450206845,2.8923140668025442,0.00066115701001537742,19.983471074380155,14.528925619834711,173.97520661157031,990.25619834710744,2263.0000000000005,121
2016-04-12_to_2016-05-12,2,7780.8666666666641,5.5529166602219142,5.5287499887868776,1.5373333419983573,0.585833332408219,3.3630833325907594,0.0025833333221574641,23.108333333333331,14.000000000000002,192.05833333333339,1027.9416666666673,2324.2083333333348,120
2016-04-12_to_2016-05-12,3,8125.0065789473656,5.8322368080507143,5.8128289145687075,1.6132894770095223,0.59302631522969951,3.4710526259150369,0.0014473684009556715,22.953947368421048,14.335526315789471,197.34210526315795,1007.3618421052633,2356.0131578947376,152
2016-04-12_to_2016-05-12,4,7559.373333333333,5.4883333278323221,5.4675999967878113,1.6334666670113791,0.52706666622310883,3.2563333404685073,0.0013333333035310114,20.780000000000005,13.099999999999994,189.85333333333338,989.47999999999945,2302.6199999999994,150
2016-04-12_to_2016-05-12,5,7405.8367346938749,5.3122449235065625,5.2874149908850177,1.3904761979166349,0.50517006649249274,3.2831292494523288,0.0023129251437122357,19.408163265306126,11.959183673469386,185.4217687074831,961.99319727891145,2199.5714285714284,147
2016-04-12_to_2016-05-12,6,7448.2301587301617,5.3099206213262837,5.3029364934338945,1.3129365018731538,0.48380952288529688,3.4891269680349133,0.0018253967993789248,20.055555555555546,12.111111111111114,204.19841269841271,1000.3095238095239,2331.7857142857129,126
2016-04-12_to_2016-05-12,7,8152.9758064516145,5.8546774227082,5.8546774227082,1.5145967546249586,0.67733870506767313,3.6171774179674703,0.001048387073340916,21.919354838709662,15.201612903225802,207.14516129032251,964.28225806451621,2354.9677419354853,124
